Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,In-Service Date,Commercial Operation Date,Cessation Date,Current Cluster,Cluster Group,Service Type,Status (Original)
GEN-2017-213,,,Grant/Kay,OK,Clarksville 345kV Substation,AEP,Hybrid - Solar,300.0,300.0,300.0,11/30/2017,Withdrawn,12/1/2026,4/13/2023,,,12/1/2021,12/1/2026,,DISIS-2017-002,04 SOUTHEAST,ER,WITHDRAWN
GEN-2017-212,,,Cedar,NE,Mark T. Moore 345kV Substation,,Solar,310.0,310.0,310.0,11/30/2017,Withdrawn,,2/5/2018,,,12/1/2021,,,DISIS-2017-002,,ER,WITHDRAWN
GEN-2017-211,,,McPherson,KS,Neosho 345kV Substation,,Solar,300.0,300.0,300.0,11/30/2017,Withdrawn,,2/5/2018,,,12/1/2021,,,DISIS-2017-002,,ER,WITHDRAWN
GEN-2017-210,,,Cedar,NE,McCool 345kV Substation,NPPD,Hybrid - Solar/Storage,310.0,310.0,310.0,11/30/2017,Withdrawn,12/1/2026,4/22/2026,,,12/1/2021,12/1/2026,,DISIS-2017-002,02 NEBRASKA,ER,WITHDRAWN
GEN-2017-209,,,McPherson,KS,LaCygne - Neosho 345kV,KCPL,Hybrid - Solar,300.0,300.0,300.0,11/30/2017,,12/31/2026,,,,12/1/2021,12/31/2026,,DISIS-2017-002,03 CENTRAL,ER,TERMINATED
GEN-2017-208,,,McPherson,KS,Benton 138kV Substation,WERE,Hybrid - Solar,150.0,150.0,150.0,11/30/2017,Withdrawn,,3/14/2022,,,12/1/2021,,,DISIS-2017-002,03 CENTRAL,ER,WITHDRAWN
GEN-2017-207,,,Grant/Kay,OK,,,Solar,300.0,300.0,300.0,11/30/2017,Withdrawn,,2/5/2018,,,12/1/2021,,,DISIS-2017-002,,ER,WITHDRAWN
GEN-2017-206,,,McPhearson,KS,Viola 345kV,,Solar,300.0,300.0,300.0,11/30/2017,Withdrawn,,9/15/2020,,,12/1/2021,,,DISIS-2017-002,,ER,WITHDRAWN
GEN-2017-205,,,McPhearson,KS,East McPherson 230kV,WERE,Hybrid - Solar,310.0,310.0,310.0,11/30/2017,Withdrawn,,3/14/2022,,,12/1/2020,,,DISIS-2017-002,03 CENTRAL,ER,WITHDRAWN
GEN-2017-204,,,McPherson,KS,Reno-Summit 345kV Line,WERE,Hybrid - Solar,210.0,210.0,210.0,11/30/2017,Withdrawn,,3/14/2022,,,12/1/2020,,,DISIS-2017-002,03 CENTRAL,ER,WITHDRAWN
GEN-2017-203,,,Grant/Kay,OK,Renfrow 345kV Substation,OGE,Hybrid - Solar,210.0,210.0,210.0,11/30/2017,,12/31/2026,,,,7/1/2023,12/31/2026,,DISIS-2017-002,04 SOUTHEAST,ER,TERMINATED
GEN-2017-202,,,New Madrid,MO,New Madrid - Sikeston 161kV,SWPA,Solar,200.0,200.0,200.0,11/30/2017,Withdrawn,12/1/2026,11/13/2024,,,12/1/2020,12/1/2026,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-201,,,Wayne County,NE,Hoskins 345kV Substation,NPPD,Wind,250.0,250.0,250.0,11/30/2017,Completed,12/31/2028,,,,12/1/2022,12/31/2028,,DISIS-2017-002,02 NEBRASKA,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-200,,,Beadle,SD,Groton 345kV Substation,BEPC,Wind,302.0,302.0,302.0,11/30/2017,Withdrawn,12/30/2026,5/9/2023,,,12/1/2020,12/30/2026,,DISIS-2017-002,01 NORTH,ER/NR,WITHDRAWN
GEN-2017-199,,,Beadle,SD,Groton 345kV Substation,BEPC,Battery/Storage,202.0,202.0,202.0,11/30/2017,Withdrawn,12/29/2026,5/9/2023,,,12/1/2020,12/29/2026,,DISIS-2017-002,01 NORTH,ER/NR,WITHDRAWN
GEN-2017-198,,,Omaha,NE,Jones St. No 1201 69kV substation,OPPD,Battery/Storage,11.64,11.64,11.64,11/30/2017,Withdrawn,2/28/2027,,,,12/1/2022,2/28/2027,,DISIS-2017-002,02 NEBRASKA,ER,WITHDRAWN
GEN-2017-197,,,Woodward,OK,Fort Supply SW 138kV Substation,WFEC,Battery/Storage,80.0,80.0,80.0,11/30/2017,Withdrawn,12/31/2022,2/22/2022,,,12/1/2022,12/31/2022,,DISIS-2017-002,04 SOUTHEAST,ER,WITHDRAWN
GEN-2017-196,,,Johnson,KS,West Gardner 345kV,KCPL,Battery/Storage,128.0,128.0,128.0,11/30/2017,Completed,12/1/2030,,,,12/1/2020,12/1/2030,,DISIS-2017-002,03 CENTRAL,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-195,,,Johnson,KS,West Gardner 345kV,KCPL,Solar,500.4,500.4,500.4,11/30/2017,Completed,12/1/2030,,,,12/1/2020,12/1/2030,,DISIS-2017-002,03 CENTRAL,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-194,,,Shawnee,KS,Tecumseh 230kV Substation,WERE,Battery/Storage,52.0,52.0,52.0,11/30/2017,Withdrawn,12/30/2026,5/9/2023,,,12/31/2020,12/30/2026,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-193,,,Shawnee,KS,Tecumseh 230kV Substation,WERE,Solar,201.6,201.6,201.6,11/30/2017,Withdrawn,,9/21/2022,,,12/1/2020,,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-192,,,Osage,KS,Swissvale 345kV,WERE,Battery/Storage,52.0,52.0,52.0,11/30/2017,Withdrawn,11/30/2025,8/7/2023,,,12/31/2020,11/30/2025,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-191,,,Osage,KS,Swissvale 345kV,WERE,Solar,201.6,201.6,201.6,11/30/2017,Withdrawn,11/30/2025,8/7/2023,,,12/1/2020,11/30/2025,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-190,,,Bailey,TX,Roosevelt-Tolk 230kV,SPS,Solar,300.3,300.3,300.3,11/30/2017,Withdrawn,,3/15/2022,,,12/31/2020,,,DISIS-2017-002,05 SOUTHWEST,ER/NR,WITHDRAWN
GEN-2017-189,,,Jasper,MO,Blackberry - Neosho 345kV line,WERE,Solar,201.6,201.6,201.6,11/30/2017,Withdrawn,,3/15/2022,,,12/31/2020,,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-188,,,Barry,MO,Asbury 161 kV,EDE,Solar,130.0,130.0,130.0,11/30/2017,Completed,6/15/2026,,,,12/31/2020,6/15/2026,,DISIS-2017-002,03 CENTRAL,ER,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-187,,,Terry,TX,Flatland 115 kV Substation,SPS,Solar,150.0,150.0,150.0,11/30/2017,Completed,11/20/2026,,,,12/31/2020,11/20/2026,,DISIS-2017-002,05 SOUTHWEST,ER,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-186,,,Cass/Bates,MO,KC South-N. Raymore 161 kV,KCPL,Solar,100.0,100.0,100.0,11/30/2017,Withdrawn,,9/21/2022,,,12/31/2020,,,DISIS-2017-002,03 CENTRAL,ER,WITHDRAWN
GEN-2017-185,,,Sumner,KS,Viola - Hunters 345kV,OGE,Wind,200.0,200.0,200.0,11/29/2017,Withdrawn,12/1/2020,10/13/2022,,,12/1/2020,12/1/2020,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-184,,,Hodgeman/Ford,KS,Nashua-St. Joe 345kV,KCPL,Solar,400.0,400.0,400.0,11/29/2017,Completed,1/15/2029,,,,12/1/2021,1/15/2029,,DISIS-2017-002,03 CENTRAL,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-183,,,Hodgeman/Ford,KS,Nashua-St. Joe 345kV,KCPL,Wind,400.0,400.0,400.0,11/29/2017,Completed,1/15/2029,,,,12/1/2021,1/15/2029,,DISIS-2017-002,03 CENTRAL,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-182,,,Lancaster,NE,Tobias 345kV Substation,NPPD,Wind,128.0,128.0,128.0,11/29/2017,Completed,7/1/2028,,,,12/1/2020,7/1/2028,,DISIS-2017-002,02 NEBRASKA,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-181,,,Lancaster,NE,Tobias 345kV Substation,NPPD,Wind,300.0,300.0,300.0,11/29/2017,Completed,7/1/2028,,,,12/1/2020,7/1/2028,,DISIS-2017-002,02 NEBRASKA,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-180,,,Wagoner,OK,Clarksville 345kV Substation,,Solar,250.0,250.0,250.0,11/29/2017,Withdrawn,,12/27/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-179,,,Sedgwick,KS,Gordon Evans 138kV Substation,WERE,Wind,222.0,222.0,222.0,11/29/2017,Withdrawn,12/30/2026,8/7/2023,,,12/1/2020,12/30/2026,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-178,,,Garfield,OK,Woodring 345kV Substation,OGE,Battery/Storage,52.0,52.0,52.0,11/29/2017,Completed,12/2/2025,,,,12/31/2020,12/2/2025,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
GEN-2017-177,,,Post Oak,MO,Post Oak 69kV,,Solar,40.0,40.0,40.0,11/29/2017,Withdrawn,,8/17/2020,,,9/1/2023,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-176,,,Hart,TX,Newhart 230kV Substation,SPS,Hybrid - Wind/Solar,300.0,300.0,300.0,11/29/2017,Withdrawn,12/1/2026,1/10/2023,,,9/1/2023,12/1/2026,,DISIS-2017-002,05 SOUTHWEST,ER/NR,WITHDRAWN
GEN-2017-175,,,Turner,SD,Vfodnes-Utica Jct. 230kV,WAPA,Wind,270.0,270.0,270.0,11/29/2017,Completed,12/31/2030,,,,9/30/2023,12/31/2030,,DISIS-2017-002,01 NORTH,ER,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-174,,,Comanche,OK,,,Solar,200.0,200.0,200.0,11/29/2017,Withdrawn,,2/7/2018,,,10/15/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-173,,,Stephen,OK,Lawton Eastside - Terry Road 345kV,AEP,Solar,50.0,50.0,50.0,11/29/2017,Completed,12/31/2027,,,,12/1/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-172,,,Stephen,OK,Lawton Eastside - Terry Road 345kV,AEP,Solar,50.0,50.0,50.0,11/29/2017,Completed,12/31/2027,,,,12/1/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-171,,,Stephen,OK,Lawton Eastside - Terry Road 345kV,AEP,Solar,150.0,150.0,150.0,11/29/2017,Completed,12/31/2027,,,,12/1/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-170,,,Wagoner,OK,Clarksville 345kV Substation,,Battery/Storage,52.0,52.0,52.0,11/29/2017,Withdrawn,,12/27/2018,,,12/31/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-169,,,McClain,OK,McClain 138kV,OGE,Battery/Storage,52.0,52.0,52.0,11/29/2017,,12/31/2027,1/29/2024,,,12/31/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,TERMINATED
GEN-2017-168,,,McClain,OK,McClain 138kV,OGE,Solar,250.0,250.0,250.0,11/29/2017,,12/31/2027,1/29/2024,,,12/1/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,TERMINATED
GEN-2017-167,,,Carter,OK,Sunnyside 345kV,OGE,Battery/Storage,52.0,52.0,52.0,11/29/2017,,12/31/2027,9/6/2024,,,12/31/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,TERMINATED
GEN-2017-166,,,Carter,OK,Sunnyside 345kV,OGE,Solar,250.0,250.0,250.0,11/29/2017,Withdrawn,12/1/2026,11/6/2023,,,12/1/2020,12/1/2026,,DISIS-2017-002,04 SOUTHEAST,ER/NR,WITHDRAWN
GEN-2017-165,,,Holt,NE,Grand Prairie-Grand Island (Holt County NE) 345kV,,Wind,288.0,288.0,288.0,11/29/2017,Withdrawn,,3/22/2019,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-164,,,Garfield,OK,Woodring 345kV Substation,OGE,Solar,250.0,250.0,250.0,11/29/2017,Completed,12/2/2025,,,,12/1/2020,12/2/2025,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
GEN-2017-163,,,Sedgwick,KS,Thistle-Wichita Dbl Ckt (Buffalo Flats) 345kV Line,,Wind,25.0,25.0,25.0,11/29/2017,Withdrawn,,12/17/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-162,,,Texas,OK,Texas County 115kV,SPS,Wind,50.0,50.0,50.0,11/29/2017,Withdrawn,,3/15/2022,,,7/1/2019,,,DISIS-2017-002,05 SOUTHWEST,ER/NR,WITHDRAWN
GEN-2017-161,,,Cimarron and Texas,OK,Sherman 115kV substation,SPS,Wind,50.0,50.0,50.0,11/29/2017,Withdrawn,,3/15/2022,,,7/1/2019,,,DISIS-2017-002,05 SOUTHWEST,ER/NR,WITHDRAWN
GEN-2017-160,,,Cimarron,OK,Mathewson 345kV,OGE,Wind,350.0,350.0,350.0,11/29/2017,Withdrawn,,4/16/2020,,,12/31/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-159,,,Cimarron and Texas,OK,Mathewson 345kV,OGE,Wind,350.0,350.0,350.0,11/29/2017,Withdrawn,,4/16/2020,,,12/31/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-158,,,Parmer/Castro,TX,Tolk 230kV Substation,SPS,Wind,265.0,265.0,265.0,11/29/2017,Completed,8/30/2026,,,,12/31/2020,8/30/2026,,DISIS-2017-002,05 SOUTHWEST,ER,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-157,,,Pittsburg,OK,Pittsburg 345kV Substation,AEP,Wind,202.0,202.0,202.0,11/28/2017,Withdrawn,,9/21/2022,,,12/1/2020,,,DISIS-2017-002,04 SOUTHEAST,ER/NR,WITHDRAWN
GEN-2017-156,,,Pittsburg,OK,Pittsburg 345kV Substation,AEP,Wind,234.0,234.0,234.0,11/28/2017,Withdrawn,,9/21/2022,,,12/1/2020,,,DISIS-2017-002,04 SOUTHEAST,ER/NR,WITHDRAWN
GEN-2017-155,,,Muskogee,OK,Muskogee 345kV Substation,OGE,Wind,300.0,300.0,300.0,11/28/2017,Withdrawn,12/1/2027,9/22/2023,,,12/1/2020,12/1/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,WITHDRAWN
GEN-2017-154,,,Johnston,OK,Johnson County 345kV Substation,OGE,Wind,255.0,255.0,255.0,11/28/2017,,12/31/2027,9/6/2024,,,12/1/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,TERMINATED
GEN-2017-153,,,McClain,OK,McClain 138kV,OGE,Wind,253.0,253.0,253.0,11/28/2017,Withdrawn,,9/21/2022,,,12/1/2020,,,DISIS-2017-002,04 SOUTHEAST,ER/NR,WITHDRAWN
GEN-2017-152,,,McClain,OK,McClain 138kV,OGE,Wind,252.0,252.0,252.0,11/28/2017,,12/31/2027,1/29/2024,,,12/1/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,TERMINATED
GEN-2017-151,,,Crosby,TX,TUCO-Oklaunion 345kV,SPS,Wind,300.0,300.0,300.0,11/28/2017,Completed,10/15/2026,,,,10/31/2020,10/15/2026,,DISIS-2017-002,05 SOUTHWEST,ER,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-150,,,Grady,OK,Minco 345kV,OGE,Solar,250.0,250.0,250.0,11/28/2017,Completed,12/31/2026,,,,12/1/2020,12/31/2026,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-149,,,Johnston,OK,Johnson County 345kV Substation,OGE,Wind,258.0,258.0,258.0,11/27/2017,Completed,12/31/2027,,,,12/1/2020,12/31/2027,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-148,,,Newton,MO,Joplin 161kV sub,EDE,Wind,202.0,202.0,202.0,11/27/2017,Withdrawn,12/1/2026,10/13/2023,,,12/1/2020,12/1/2026,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-147,,,Johnson,KS,Stilwell 345kV,KCPL,Wind,252.0,252.0,252.0,11/27/2017,Withdrawn,,9/21/2022,,,12/1/2020,,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-146,,,Castro,TX,Deaf Smith-Plant X 230kV,SPS,Wind,151.8,151.8,151.8,11/27/2017,Completed,10/15/2026,,,,10/31/2020,10/15/2026,,DISIS-2017-002,05 SOUTHWEST,ER,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-145,,,Lea,NM,Roadrunner 115kV,SPS,Solar,110.3,110.3,110.3,11/27/2017,Withdrawn,,3/15/2022,,,12/31/2020,,,DISIS-2017-002,05 SOUTHWEST,ER/NR,WITHDRAWN
GEN-2017-144,,,"Holt, Antelope, Wheeler",NE,Holt County 345kV,NPPD,Wind,200.0,200.0,200.0,11/27/2017,Completed,12/31/2028,,,,12/31/2021,12/31/2028,,DISIS-2017-002,02 NEBRASKA,ER,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-143,,,Wagoner,OK,Clarksville 345kV Substation,,Wind,227.0,227.0,227.0,11/22/2017,Withdrawn,,12/27/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-142,,,Jackson,KS,Swissvale 345kV Station,WERE,Wind,170.0,170.0,170.0,11/22/2017,Withdrawn,,9/21/2022,,,12/1/2020,,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-141,,,Wagoner,OK,Clarksville 345kV Switching Station,AEP,Solar,241.7,241.7,241.7,11/22/2017,Completed,12/31/2028,,,,12/1/2020,12/31/2028,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-140,,,Wagoner,OK,Clarksville 345kV Switching Station,AEP,Solar,160.0,160.0,160.0,11/22/2017,Completed,12/31/2028,,,,12/1/2020,12/31/2028,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-139,,,Holt,NE,Grand Prairie-Grand Island (Holt County NE) 345kV Line,,Wind,252.0,252.0,252.0,11/22/2017,Withdrawn,,1/25/2019,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-138,,,Holt,NE,Grand Prairie-Grand Island (Holt County NE) 345kV Line,,Wind,252.0,252.0,252.0,11/22/2017,Withdrawn,,1/25/2019,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-137,,,Oklahoma,OK,Arcadia 345kV,OGE,Wind,295.0,295.0,295.0,11/22/2017,Completed,6/30/2030,,,,12/1/2020,6/30/2030,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-136,,,Oklahoma,OK,Arcadia 345kV Substation,,Wind,385.0,385.0,385.0,11/22/2017,Withdrawn,,12/28/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-135,,,Oklahoma,OK,Arcadia 345kV Substation,,Wind,470.0,470.0,470.0,11/22/2017,Withdrawn,,12/28/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-134,,,Oklahoma,OK,Arcadia 345kV,OGE,Wind,250.0,250.0,250.0,11/22/2017,Completed,6/30/2030,,,,12/1/2020,6/30/2030,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-133,,,Oklahoma,OK,Arcadia 345kV,OGE,Wind,200.0,200.0,200.0,11/22/2017,Completed,6/30/2030,,,,12/1/2020,6/30/2030,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-132,,,Oklahoma,OK,Arcadia 345kV,OGE,Wind,400.0,400.0,400.0,11/22/2017,,12/31/2028,3/4/2024,,,12/1/2020,12/31/2028,,DISIS-2017-002,04 SOUTHEAST,ER/NR,TERMINATED
GEN-2017-131,,,Wilson,KS,Altoona- NE Parson 138kV,WERE,Battery/Storage,29.6,29.6,29.6,11/22/2017,,2/1/2026,6/9/2025,,,12/1/2020,2/1/2026,,DISIS-2017-002,03 CENTRAL,ER/NR,TERMINATED
GEN-2017-130,,,Osage,KS,Swissvale 345kV Substation,,Wind,215.0,215.0,215.0,11/22/2017,Withdrawn,,12/27/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-129,,,Wagoner,OK,Clarksville 345kV Substation,,Wind,222.0,222.0,222.0,11/21/2017,Withdrawn,,12/27/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-128,,,Jackson,KS,Swissvale 345kV,WERE,Wind,202.0,202.0,202.0,11/20/2017,Withdrawn,12/30/2026,7/28/2023,,,12/1/2020,12/30/2026,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-127,,,Osage,KS,Hoyt 345kV Substation,,Wind,252.0,252.0,252.0,11/20/2017,Withdrawn,,12/27/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-126,,,Jackson,KS,Hoyt 345kV Substation,,Wind,252.0,252.0,252.0,11/20/2017,Withdrawn,,12/27/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-125,,,Osage,KS,Swissvale 345kV,WERE,Wind,252.0,252.0,252.0,11/20/2017,,11/8/2027,6/13/2024,,,12/1/2020,11/8/2027,,DISIS-2017-002,03 CENTRAL,ER/NR,TERMINATED
GEN-2017-124,,,Jackson,KS,Hoyt 345kV Substation,,Wind,252.0,252.0,252.0,11/20/2017,Withdrawn,,12/27/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-123,,,Leavenworth,KS,Stranger Creek 345kV,WERE,Wind,180.0,180.0,180.0,11/20/2017,Withdrawn,,9/21/2022,,,12/1/2020,,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-122,,,Wagoner,OK,Clarksville 345kV Substation,,Wind,234.0,234.0,234.0,11/20/2017,Withdrawn,,12/27/2018,,,12/1/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-121,,,Sumner,KS,Sumner 138kV,WERE,Wind,200.0,200.0,200.0,11/17/2017,Completed,12/1/2026,,,,12/1/2021,12/1/2026,,DISIS-2017-002,03 CENTRAL,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-120,,,Dickinson/Marion,KS,Abilene Energy Center-Northview 115kV,WERE,Wind,260.0,260.0,260.0,11/17/2017,Withdrawn,3/31/2028,3/11/2026,,,5/1/2027,3/31/2028,,DISIS-2017-002,03 CENTRAL,ER,WITHDRAWN
GEN-2017-119,,,Cloud/Mitchell,KS,Elm Creek 345kV substation,ITCGP,Wind,180.0,180.0,180.0,11/17/2017,Withdrawn,12/31/2027,,,,5/1/2024,12/31/2027,,DISIS-2017-002,03 CENTRAL,ER,WITHDRAWN
GEN-2017-118,,,Cloud/Mitchell,KS,Elm Creek 345kV substation,SUNC,Wind,130.0,130.0,130.0,11/17/2017,Withdrawn,,4/7/2022,,,5/1/2024,,,DISIS-2017-002,03 CENTRAL,ER/NR,WITHDRAWN
GEN-2017-117,,,Canadian,OK,El Reno SW 138kV,WFEC,Battery/Storage,19.8,19.8,19.8,11/17/2017,Completed,7/31/2029,,,,12/1/2020,7/31/2029,,DISIS-2017-002,04 SOUTHEAST,ER/NR,IA FULLY EXECUTED/ON SUSPENSION
GEN-2017-116,,,Curry/Roosevelt,NM,Oasis - Pleasant Hill 230kV,SPS,Solar,192.5,192.5,192.5,11/17/2017,Withdrawn,9/30/2024,10/13/2022,,,12/1/2021,9/30/2024,,DISIS-2017-002,05 SOUTHWEST,ER,WITHDRAWN
GEN-2017-115,,,Atchinson/Nodaway,MO,Holt County 345 kV,KCPL,Wind,244.0,244.0,244.0,11/10/2017,,12/31/2026,11/13/2025,,,5/1/2027,12/31/2026,,DISIS-2017-002,03 CENTRAL,ER,TERMINATED
GEN-2017-114,,,Dewey,SD,Chappelle Creek - Leland Olds 345kV,BEPC,Wind,450.0,450.0,450.0,10/23/2017,Withdrawn,,9/21/2022,,,12/31/2021,,,DISIS-2017-002,01 NORTH,ER,WITHDRAWN
GEN-2017-113,,,Bennett,SD,Martin 115kV,WAPA,Wind,119.0,119.0,119.0,10/23/2017,Withdrawn,,9/21/2022,,,12/31/2021,,,DISIS-2017-002,01 NORTH,ER,WITHDRAWN
GEN-2017-112,,,Bates,MO,Clinton – Stilwell 161 kV Line Tap,KCPL,Wind,200.0,200.0,200.0,11/27/2017,Withdrawn,9/30/2024,10/12/2022,,,9/1/2026,9/30/2024,,DISIS-2017-002,03 CENTRAL,ER,WITHDRAWN
GEN-2017-111,,,Bates,MO,Clinton – Stilwell 161 kV Line Tap,KCPL,Solar,152.0,152.0,152.0,11/27/2017,Withdrawn,12/31/2024,8/24/2023,,,9/1/2023,12/31/2024,,DISIS-2017-002,03 CENTRAL,ER,WITHDRAWN
GEN-2017-110,,,Grant,KS,Pioneer Sub 115kV,SUNC,Solar,100.0,100.0,100.0,11/15/2017,Withdrawn,,11/5/2019,,,12/31/2020,,,DISIS-2017-002,,ER/NR,WITHDRAWN
GEN-2017-109,,,Dawson County,MT,Dawson Co - Ft Peck 230 kV,WAPA,Wind,320.9,320.9,320.9,8/30/2017,Withdrawn,,3/14/2022,,,12/31/2020,,,DISIS-2017-002,01 NORTH,ER/NR,WITHDRAWN
GEN-2017-108,,,Henry County,MO,Stillwell - Clinton 161kV Line,KCPL,Solar,400.0,400.0,400.0,8/26/2017,Completed,3/1/2027,,,,12/1/2022,3/1/2027,,DISIS-2017-002,03 CENTRAL,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GEN-2017-107,,,Potter County,TX,Highland Park - Asarco 115 kV Line,SPS,Solar,40.0,40.0,40.0,8/7/2017,Withdrawn,4/30/2020,3/14/2022,,,4/30/2020,4/30/2020,,DISIS-2017-002,05 SOUTHWEST,ER,WITHDRAWN
GEN-2017-106,,,Randall County,TX,Canyon West - Dawn 115 kV,SPS,Solar,40.0,40.0,40.0,8/7/2017,Withdrawn,4/30/2020,3/14/2022,,,4/30/2020,4/30/2020,,DISIS-2017-002,05 SOUTHWEST,ER,WITHDRAWN
GEN-2017-105,,,Burt County,NE,Tekamah - Raun 161 kV Line,OPPD,Wind,75.0,75.0,75.0,7/12/2017,Completed,12/20/2026,,,,12/15/2018,12/20/2026,,DISIS-2017-002,02 NEBRASKA,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
